runs,parametros,kl_score,best
2,"{'perplexity': 40, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.0006105402296585327}",0.09183350652456283,"TSNE(learning_rate=0.007196856730011514, metric='correlation', n_iter=2000,
     perplexity=60, random_state=2)"
2,"{'perplexity': 35, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.00031622776601683794}",0.20669689178466796,"TSNE(learning_rate=0.007196856730011514, metric='correlation', n_iter=2000,
     perplexity=60, random_state=2)"
2,"{'perplexity': 45, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.13894954943731375}",-0.0016170619977856405,"TSNE(learning_rate=0.007196856730011514, metric='correlation', n_iter=2000,
     perplexity=60, random_state=2)"
3,"{'perplexity': 60, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.01637893706954063}",-0.0,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 60, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.01}",-0.07918919362127781,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 55, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.008483428982440717}",-0.14929984956979753,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 60, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.0013894954943731374}",-0.0,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 40, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.05179474679231207}",0.09183350652456283,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 65, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.0008483428982440717}",-0.0,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 55, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.1637893706954063}",-0.0005800312268547714,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 60, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.01}",-0.07918919362127781,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 35, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.2682695795279725}",0.21083611845970154,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
3,"{'perplexity': 45, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.01}",-0.07978911586105823,"TSNE(learning_rate=0.008483428982440717, metric='correlation', n_iter=2000,
     perplexity=55, random_state=3)"
4,"{'perplexity': 50, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.0022758459260747866}",-0.0,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 40, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.00013894954943731373}",0.09393050968647003,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 55, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.08483428982440717}",-0.0,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 65, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.0006105402296585327}",-0.0,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 25, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.019306977288832496}",0.4328520178794861,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 60, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.07196856730011514}",-0.0,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
